Method,Genre,Decade,Topic
BERT,Rap,90s,"[('prodigy', 0.03902892947762835), ('havoc', 0.03257562380256802), ('son', 0.028013674838422323), ('got', 0.024615872161955512), ('aint', 0.02460883380298589), ('life', 0.02200262630883704), ('surprising', 0.021897093536812337), ('back', 0.021387009574336372), ('kid', 0.020630745688202105), ('shook', 0.019560337031857604)]"
BERT,Rap,90s,"[('jump', 0.06705840770810098), ('law', 0.059996240907407905), ('break', 0.05358929933923036), ('tical', 0.03439764546574914), ('im', 0.03175327538194863), ('mafia', 0.02437347919016856), ('represent', 0.02151378115783918), ('dj', 0.021482799471817096), ('hiphop', 0.020335740896730407), ('ya', 0.019684522392386182)]"
BERT,Rap,90s,"[('kim', 0.0736029701126547), ('lil', 0.06534387513258426), ('money', 0.05044231474428391), ('power', 0.04518896764098179), ('respect', 0.04173056717881258), ('got', 0.0313503200068608), ('night', 0.03082050091415763), ('ya', 0.029387010286038604), ('aint', 0.026496315529030937), ('never', 0.023532945452786887)]"
BERT,Rap,90s,"[('buggin', 0.08656281789521485), ('yes', 0.04455767433159813), ('sometimes', 0.03157111009966631), ('rhymes', 0.027824755872623636), ('rhyme', 0.026834516822008304), ('phife', 0.026737176482170236), ('qtip', 0.026011292591343313), ('yeah', 0.025073913175610994), ('everywhere', 0.02379257422764415), ('youre', 0.023431070634568854)]"
BERT,Rap,90s,"[('chief', 0.055820190125155336), ('rocka', 0.053800580353098336), ('rock', 0.04908570138672905), ('im', 0.04140049150343199), ('intergalactic', 0.041113885957120254), ('planetary', 0.04090741717295576), ('rage', 0.04071124579616793), ('whatcha', 0.03817413019262207), ('dimension', 0.03476465643321415), ('em', 0.030990742675592646)]"
BERT,Rap,00s,"[('im', 0.03429041233701765), ('got', 0.025255428117357835), ('dont', 0.021431301377936956), ('know', 0.019271291228848596), ('aint', 0.018860637488296698), ('yeah', 0.018624762785458847), ('verse', 0.018083556050171607), ('cause', 0.01686543286649587), ('back', 0.0166955882893966), ('na', 0.016423372231162855)]"
BERT,Rap,00s,"[('love', 0.03433893603246347), ('im', 0.02681299883784797), ('know', 0.02270917546313954), ('dont', 0.019900958050495944), ('feel', 0.019543503536829803), ('verse', 0.019439250051965243), ('see', 0.019045781241781145), ('got', 0.01664119993514761), ('let', 0.016603493408376066), ('make', 0.016076152516110342)]"
BERT,Rap,00s,"[('go', 0.02999850252117108), ('got', 0.028202203600198258), ('ya', 0.028116082104259827), ('let', 0.02518742934435076), ('know', 0.024809797697694515), ('im', 0.022966646934716856), ('girl', 0.022678919148425892), ('yeah', 0.022093966710659083), ('uh', 0.01969670873848251), ('back', 0.018721394492301886)]"
BERT,Rap,00s,"[('eminem', 0.05423984165706914), ('im', 0.034365018699974895), ('dont', 0.025840547657602363), ('cause', 0.023024567272802478), ('back', 0.021279587258972756), ('shady', 0.02034892072112962), ('got', 0.019883569075053266), ('aint', 0.018975101061791635), ('verse', 0.01848036985169898), ('ill', 0.017114305940172467)]"
BERT,Rap,00s,"[('kanye', 0.06479925619462444), ('west', 0.05963939713069402), ('cant', 0.031082648732185702), ('im', 0.027524055752712766), ('got', 0.02356387544551864), ('know', 0.0204926374146749), ('right', 0.019657147037315765), ('ever', 0.019146846045243464), ('gon', 0.018647333242584777), ('chorus', 0.01857890400544229)]"
BERT,Rap,00s,"[('jayz', 0.05314986506390458), ('im', 0.031204166211278035), ('know', 0.028220990766948388), ('one', 0.026607256080752328), ('got', 0.026593092012203022), ('em', 0.023262941393733135), ('hov', 0.02248000795907116), ('never', 0.02156683560339746), ('go', 0.02151396644784758), ('hard', 0.021224600345550935)]"
BERT,Rap,00s,"[('doom', 0.027667285722017453), ('know', 0.016134459233552497), ('dont', 0.01565969116248892), ('coolest', 0.015546656044138928), ('mf', 0.013639516285726475), ('one', 0.012735508560031897), ('villain', 0.011854197449427645), ('verse', 0.011804673826793677), ('got', 0.011707707918281735), ('poet', 0.01134504545368843)]"
BERT,Rap,00s,"[('money', 0.05830106660674591), ('im', 0.04367676171723946), ('got', 0.03129079795082197), ('usnavi', 0.030412858709338624), ('clean', 0.029581287653384986), ('us', 0.02726409343382304), ('yeah', 0.026145987872960172), ('swagger', 0.0247626432799326), ('dollar', 0.023251523281051654), ('fresh', 0.02269304503185252)]"
BERT,Rap,00s,"[('us', 0.03214373299549034), ('ghetto', 0.028044251781733094), ('pac', 0.025950107534964163), ('im', 0.025868967303103934), ('america', 0.02207972741975047), ('cause', 0.022020724212266987), ('people', 0.021726533982496122), ('give', 0.02156278100746945), ('die', 0.02138834104236558), ('dont', 0.019558552071228797)]"
BERT,Rap,00s,"[('lil', 0.07972628193841781), ('wayne', 0.07682306499251788), ('rain', 0.05759891960817812), ('yeah', 0.05756559094207471), ('make', 0.04815260265507058), ('shawty', 0.03681792382168854), ('weeoohweeoohwee', 0.03083387417457937), ('im', 0.028910554968778517), ('lick', 0.02816836498817283), ('lollipop', 0.02696808013154404)]"
BERT,Rap,00s,"[('boy', 0.0723547970055502), ('dat', 0.05728368705956905), ('crank', 0.056481618254756234), ('watch', 0.054654190169259424), ('knuck', 0.051753120719513226), ('soulja', 0.05092897703251091), ('buck', 0.04385782290498256), ('yuuuuuuu', 0.03949166532449923), ('dont', 0.036767381490867335), ('set', 0.03365897551675416)]"
BERT,Rap,00s,"[('drake', 0.062419108210254724), ('ever', 0.05316269579457727), ('im', 0.0496731563892256), ('best', 0.04912330470765844), ('okay', 0.039030653701224785), ('mane', 0.029902864000178327), ('dont', 0.02778572309289195), ('say', 0.023934066944848686), ('got', 0.02310043984101706), ('aint', 0.022271638090042078)]"
BERT,Rap,00s,"[('knew', 0.0636006218621297), ('dont', 0.0447091287608412), ('im', 0.040583713415141234), ('aint', 0.033430116655901496), ('id', 0.033149438934388216), ('never', 0.03201774570363255), ('genitals', 0.02845461892455283), ('criminal', 0.026147336231215554), ('know', 0.0260205552533149), ('rap', 0.02532746317792146)]"
BERT,Rap,00s,"[('dogg', 0.10334406859402188), ('snoop', 0.09268246528499731), ('really', 0.07065872217710889), ('wally', 0.05214575809879533), ('oochie', 0.04958814528378557), ('run', 0.03799532224073772), ('blaow', 0.03204679663043735), ('hot', 0.03187827234732217), ('scared', 0.03117111406310918), ('im', 0.02731863027963527)]"
BERT,Rap,00s,"[('many', 0.09045840444931692), ('man', 0.05457124544787189), ('box', 0.05254398810054056), ('poopooooh', 0.045257123185722045), ('girls', 0.044197467215670166), ('roses', 0.04318150090137985), ('music', 0.04317371215462883), ('thank', 0.041375554745521834), ('really', 0.0393147514858688), ('smell', 0.03773765335836542)]"
BERT,Rap,10s,"[('im', 0.07731091111557511), ('yeah', 0.059772864621392904), ('got', 0.054612370843267914), ('dont', 0.04918727558378036), ('know', 0.04281412295694241), ('aint', 0.03364843460498752), ('verse', 0.03155198483426529), ('chorus', 0.029069259458780864), ('go', 0.027399543894099265), ('thats', 0.024846708518228428)]"
BERT,Rap,10s,"[('hamilton', 0.2172335320701898), ('burr', 0.16366524852756295), ('company', 0.11069372975441215), ('washington', 0.08753293074664321), ('eliza', 0.0782156446801188), ('angelica', 0.07466965048949581), ('jefferson', 0.0698934894979427), ('ensemble', 0.061574366811345815), ('im', 0.048188393970703715), ('room', 0.04388806251502502)]"
BERT,Rap,20s,"[('im', 0.07751220402114138), ('yeah', 0.07664384429943638), ('got', 0.05606783523651461), ('dont', 0.04826933263700582), ('know', 0.04181309612229333), ('aint', 0.038866061820920256), ('verse', 0.030160576589702812), ('chorus', 0.03005799957541251), ('go', 0.029618328070579406), ('back', 0.025860432887445585)]"
BERT,Rap,20s,"[('tyler', 0.1311166173433605), ('creator', 0.12075517784759598), ('run', 0.08546952417974468), ('drama', 0.08469295555803168), ('yeah', 0.08344500839773675), ('dj', 0.08341930470114466), ('im', 0.07795574763289548), ('go', 0.05376541985659543), ('gon', 0.04961425957531201), ('got', 0.044319824648541305)]"
TIME,TIME,TIME,534.8205959796906
